winner,opening_eco,opening_name,time_control,black_rating_group,white_rating_group
white,A46,Indian Game: Spielmann-Indian,blitz,advanced,advanced
draw,A46,Indian Game: Spielmann-Indian,blitz,advanced,advanced
black,A46,Indian Game: Spielmann-Indian,bullet,intermediate,intermediate
black,A46,Indian Game: Spielmann-Indian,blitz,advanced,advanced
black,A46,Indian Game: Spielmann-Indian,blitz,advanced,advanced
draw,A46,Indian Game: Spielmann-Indian,blitz,advanced,advanced
black,A45,Indian Game: Tartakower Attack,blitz,intermediate,intermediate
black,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
black,A45,Indian Game: Tartakower Attack,blitz,intermediate,intermediate
white,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
black,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
white,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
white,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
black,A45,Indian Game: Tartakower Attack,rapid,intermediate,intermediate
white,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
black,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
draw,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
black,A45,Indian Game: Tartakower Attack,bullet,intermediate,intermediate
black,A46,Indian Game: Wade-Tartakower Defense,bullet,intermediate,intermediate
white,A46,Indian Game: Wade-Tartakower Defense,bullet,intermediate,intermediate
white,A46,Indian Game: Wade-Tartakower Defense,bullet,intermediate,intermediate
black,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
black,E61,Indian Game: West Indian Defense,bullet,beginner,beginner
black,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
white,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
draw,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
white,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
black,E61,Indian Game: West Indian Defense,blitz,intermediate,intermediate
black,E61,Indian Game: West Indian Defense,rapid,intermediate,intermediate
black,E61,Indian Game: West Indian Defense,blitz,intermediate,intermediate
black,E61,Indian Game: West Indian Defense,rapid,intermediate,intermediate
draw,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
white,E61,Indian Game: West Indian Defense,bullet,intermediate,intermediate
draw,C50,Italian Game,rapid,beginner,beginner
black,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,blitz,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
draw,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,blitz,beginner,beginner
white,C50,Italian Game,blitz,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
draw,C50,Italian Game,blitz,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,blitz,intermediate,intermediate
white,C50,Italian Game,rapid,beginner,beginner
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,rapid,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,beginner,beginner
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,blitz,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,rapid,intermediate,intermediate
black,C50,Italian Game,bullet,beginner,beginner
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,rapid,beginner,beginner
white,C50,Italian Game,blitz,intermediate,intermediate
draw,C50,Italian Game,rapid,beginner,beginner
black,C50,Italian Game,blitz,beginner,beginner
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,blitz,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,beginner,beginner
white,C50,Italian Game,bullet,intermediate,intermediate
draw,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
draw,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,blitz,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,rapid,intermediate,intermediate
white,C50,Italian Game,blitz,intermediate,intermediate
draw,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,blitz,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,blitz,intermediate,intermediate
black,C50,Italian Game,bullet,beginner,beginner
white,C50,Italian Game,bullet,beginner,beginner
black,C50,Italian Game,blitz,intermediate,intermediate
black,C50,Italian Game,bullet,beginner,beginner
black,C50,Italian Game,bullet,beginner,beginner
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,rapid,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
draw,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,rapid,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,blitz,intermediate,intermediate
draw,C50,Italian Game,bullet,intermediate,intermediate
white,C50,Italian Game,bullet,intermediate,intermediate
black,C50,Italian Game,rapid,beginner,beginner
draw,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,rapid,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,beginner,beginner
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,rapid,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,rapid,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,beginner,beginner
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,beginner,beginner
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
draw,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
draw,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,rapid,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,beginner,beginner
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
draw,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,beginner,beginner
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
draw,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
draw,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,blitz,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
black,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
draw,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C55,Italian Game: Anti-Fried Liver Defense,bullet,intermediate,intermediate
white,C53,Italian Game: Bird's Attack,bullet,intermediate,intermediate
white,C53,Italian Game: Bird's Attack,bullet,intermediate,intermediate
white,C53,Italian Game: Bird's Attack,blitz,intermediate,intermediate
black,C53,Italian Game: Classical Variation,rapid,intermediate,intermediate
black,C53,Italian Game: Classical Variation,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,advanced,advanced
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
draw,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,blitz,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation #2,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Albin Gambit,classical,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Albin Gambit,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Albin Gambit,rapid,advanced,advanced
black,C53,Italian Game: Classical Variation |  Albin Gambit,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Albin Gambit,blitz,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Albin Gambit,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Albin Gambit,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Albin Gambit,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Center Attack,bullet,advanced,advanced
white,C53,Italian Game: Classical Variation |  Center Attack,rapid,beginner,beginner
black,C53,Italian Game: Classical Variation |  Center Attack,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Center Holding Variation,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Closed Variation,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,advanced,advanced
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,rapid,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,advanced,advanced
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,rapid,advanced,advanced
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,rapid,beginner,beginner
draw,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,rapid,advanced,advanced
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
white,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,bullet,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Giuoco Pianissimo,blitz,intermediate,intermediate
black,C53,Italian Game: Classical Variation |  Greco Gambit,bullet,intermediate,intermediate
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Greco Variation,bullet,intermediate,intermediate
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Main Line,bullet,intermediate,intermediate
draw,C54,Italian Game: Classical Variation |  Greco Gambit |  Moeller-Therkatz Attack,classical,advanced,advanced
draw,C54,Italian Game: Classical Variation |  Greco Gambit |  Moeller-Therkatz Attack,classical,advanced,advanced
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Moeller-Therkatz Attack,bullet,intermediate,intermediate
white,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,blitz,intermediate,intermediate
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
white,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,blitz,advanced,advanced
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,advanced,advanced
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
draw,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
white,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
white,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
white,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
black,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
draw,C54,Italian Game: Classical Variation |  Greco Gambit |  Traditional Line,bullet,intermediate,intermediate
white,C55,Italian Game: Deutz Gambit,bullet,intermediate,intermediate
white,C55,Italian Game: Deutz Gambit,blitz,advanced,advanced
white,C55,Italian Game: Deutz Gambit,bullet,intermediate,intermediate
black,C55,Italian Game: Deutz Gambit,bullet,intermediate,intermediate
white,C55,Italian Game: Deutz Gambit,bullet,intermediate,intermediate
white,C51,Italian Game: Evans Gambit,blitz,intermediate,intermediate
black,C51,Italian Game: Evans Gambit Declined,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit Declined,blitz,intermediate,intermediate
white,C51,Italian Game: Evans Gambit Declined,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit Declined,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit Declined,bullet,intermediate,intermediate
white,C51,Italian Game: Evans Gambit Declined,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit Declined |  5.a4,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit Declined |  Cordel Variation,blitz,intermediate,intermediate
black,C52,Italian Game: Evans Gambit |  Anderssen Defense,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit |  Harding Variation,bullet,intermediate,intermediate
white,C52,Italian Game: Evans Gambit |  Main Line,bullet,intermediate,intermediate
white,C51,Italian Game: Evans Gambit |  McDonnell Defense,bullet,intermediate,intermediate
white,C51,Italian Game: Evans Gambit |  McDonnell Defense,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit |  McDonnell Defense,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit |  McDonnell Defense,bullet,intermediate,intermediate
white,C51,Italian Game: Evans Gambit |  McDonnell Defense,blitz,intermediate,intermediate
white,C51,Italian Game: Evans Gambit |  Morphy Attack,bullet,intermediate,intermediate
white,C52,Italian Game: Evans Gambit |  Pierce Defense,bullet,intermediate,intermediate
white,C52,Italian Game: Evans Gambit |  Pierce Defense,bullet,intermediate,intermediate
black,C52,Italian Game: Evans Gambit |  Slow Variation,blitz,intermediate,intermediate
black,C52,Italian Game: Evans Gambit |  Slow Variation,bullet,intermediate,intermediate
black,C51,Italian Game: Evans Gambit |  Stone-Ware Variation,blitz,intermediate,intermediate
white,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,blitz,intermediate,intermediate
white,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
white,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
white,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
white,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,blitz,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,blitz,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,blitz,intermediate,intermediate
white,C50,Italian Game: Giuoco Pianissimo,blitz,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
black,C50,Italian Game: Giuoco Pianissimo,bullet,intermediate,intermediate
